id,sku,short_description,price,list_price,avg_rating,discount,discount_rate,order_count,is_visible,brand,name,image
476059,6104067990619," USB Team E902 16GB mang đến cho bạn dùng lượng rộng rãi 16GB để bạn có thể lưu tất cả các dữ liệu cần thiết cho công việc của mình. Ngoài ra, chuẩn  USB 2.0 cùng tính năng plug - play giúp bạn thuận...",84000,120000,4.2,36000,30,,,,USB Team E902 16GB - Hàng Chính Hãng,https://salt.tikicdn.com/cache/280x280/media/catalog/product/u/s/usb-2-0-team-group-inc-e902-16gb-xanh-nhat-1215-6622111-2-zoom.jpg
416990,7507716307926,"USB Wifi (high gain) TP-LINK TL-WN722N hỗ trợ người dùng cài đặt các máy tính hoặc máy tính xách tay ở vị trí thuận tiện nhất có sẵn, mà không cần phải có dây cáp mạng. Sản phẩm tương thích với các ...",175000,197600,4.7,22600,11,,,,TP-Link  TL-WN722N - USB Wifi (high gain) tốc độ 150Mbps - Hàng Chính Hãng,https://salt.tikicdn.com/cache/280x280/ts/product/d8/7e/88/8b082f09b4786149879ac69417ad2087.jpg
276191594,2057461643290,"Hộp mực HP 12A , Ca.non 2900 – Chất lượng cao –Mới 100% - Nguyên hộp- Bảo hành 1 đổi 1 trong 1 THÁNG HOẶC ĐẾN KHI HẾT MỰC... nếu lỗi do nhà sản xuất. Dùng cho các dòng máy in sau:HP 1010, 1015, 10...",121000,121000,5.0,0,0,,,,Hộp mực 12A Canon 2900 dành cho Canon LBP 2900/3000 HP Laser Jet 1010/1015/1020/3015/3020/3030/3050  HÀNG CHÍNH HÃNG ALPHA CARTRIDGE,https://salt.tikicdn.com/cache/280x280/ts/product/ff/be/49/1d3c9948758d41167de973278f01401b.jpg
275451243,8475785093143,"Hộp mực dùng cho máy in canon LBP 2900/ 3000 ( hộp mực 12a) có mực sẵn, mua về lắp vào sử dụng luôn mực in đều, sắc nét, in được khoảng 5000 trang (độ phủ 5%)shop xuất hóa ...",112000,112000,4.7,0,0,,,,Hộp mực dùng cho máy in canon lbp 2900/3000 (hộp mực 12a) hàng chính hãng ,https://salt.tikicdn.com/cache/280x280/ts/product/b7/9f/d9/47cfd49980ebb4ccd723c44f4eccc490.jpeg
276034344,9096108590124,"Lưu Ý: SẢN PHẨM KHÔNG CÓ VATLINK ĐẶT MUA HÀNG DÙNG LUÔN KHÔNG MẤT PHÍ VẬN CHUYỂNLưu Ý : Sản Phẩm Không Phải Là dạng mã thẻ cào, hay key kích hoạt ( khách hàng lưu ý trước khi mua hàng )Bản quyền 1...",389000,389000,5.0,0,0,,,,OFFICE 365 FAMILY -  1 Tài Khoản 5 Thiết bị 1 Năm+ 1TB Lưu Trữ  - Hàng Chính Hãng,https://salt.tikicdn.com/cache/280x280/ts/product/7e/1a/0d/e54beba3653b686613a770eee4364ba6.jpg
271041775,5277654294710,"USB Flash DataTraveler Exodia OnyxVới nắp trượt đẹp mắtKingston DataTraveler Exodia Onyx là loại ổ flash tương thích với USB 3.2 Gen 1 với khả năng truyền dữ liệu nhanh chóng, cho phép lưu ...",342000,342000,5.0,0,0,,,,USB Kingston 3.2 Gen 1 DataTraveler Exodia Onyx USB Flash Drive 64G / 128G / 256G - Hàng Chính Hãng,https://salt.tikicdn.com/cache/280x280/ts/product/cf/37/14/a7515c2bee65d9e9e3a4d2796b526c23.jpg
275191477,4436777031662,"Sản phẩm: Hộp mực CF285A,  cho máy in Black LASERJET P1102, / P1212/P1102W LBP-3018/3010/3050/3020/3100/6000.F158200Số lượng bản in: 1.200 -1.600Giúp các doanh nghiệp tiết kiệm từ 45% - 50% chi phí ...",112800,112800,5.0,0,0,,,,Hộp mực 85A 35A dành cho máy in Canon LBP 6000 6030 6030w F158200 HP P1102/P1212/P1102W/1136/1216/1130 - LBP 3010/3050/3020 Hàng chính hãng Alpha Cartridge,https://salt.tikicdn.com/cache/280x280/ts/product/37/29/7b/7db590ea0e3d5716c02b828cf9f4c43a.jpg
273395255,5619455831634,"Avast Premium Security:- Bảo vệ chống lại tất cả mối đe dọa trên mạng, bao gồm cả trang web giả mạo và phần mềm tống tiền.- Ngăn chặn tin tặc chiếm quyền điều khiển máy tính.- Bảo vệ chống phần mềm...",155000,155000,4.8,0,0,,,,Avast Premium Security (For 1 PC – 1 year)- Hàng chính hãng ,https://salt.tikicdn.com/cache/280x280/ts/product/0a/17/0b/419a76efad7603b4081f2af1f9bdeb37.png
21709688,3901820326271,Hộp mực thay thế 12a dùng cho máy in  1010; 1012; 1015; 1018; 1020; 1022; 3015; 3020; 3030; 3050; 3052; 30551005 Canon LBP2900; Canon LBP3000Mới 100% cho ra 1500 bản in đẹpvỏ hộp đầy đủ...,160000,160000,0.0,0,0,,,,Hộp mực 12a dành cho máy in LBP 2900/ hp 1020/ 1010 - NHẬP KHẨU,https://salt.tikicdn.com/cache/280x280/ts/product/67/ea/57/5d183316d4df4997ffe26e6feab777d4.jpg
190315447,4888963029576,"Phần Mềm Diệt Virus BKAV Profressional Internet Security Phần Mềm Diệt Virus BKAV Profressional sử dụng Trí tuệ nhân tạo (AI) tổng hợp các dữ liệu được ghi nhận, phân tích và chỉ ra các mối nguy hiểm...",169000,169000,5.0,0,0,,,,Phần Mềm Diệt Virus BKAV Pro Internet Security AI (1 năm) - Hàng Chính Hãng,https://salt.tikicdn.com/cache/280x280/ts/product/98/ea/93/d1af129f43780411917394a60c5fe10c.png
